epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,student_modalities,drop_counts
1,5.092363928496837,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
2,3.4341722312271594,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
3,3.3489432704895736,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
4,3.4521236518621445,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
5,3.577577644079924,0.19452535911648128,0.9583800972689862,0.9582279589514351,0.9583800972689862,0.0001,8606392,depth+lidar+mmwave,0/1/2
6,3.6474423050135374,NA,NA,NA,0.9583800972689862,0.0001,8606392,depth+lidar+mmwave,0/1/2
7,3.4322302883863447,NA,NA,NA,0.9583800972689862,0.0001,8606392,depth+lidar+mmwave,0/1/2
8,3.9815727616101504,NA,NA,NA,0.9583800972689862,0.0001,8606392,depth+lidar+mmwave,0/1/2
9,4.036161326594651,NA,NA,NA,0.9583800972689862,0.0001,8606392,depth+lidar+mmwave,0/1/2
10,4.2335941415950655,0.19391300818335075,0.9612638733009103,0.9613649631046632,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
11,4.031748630225659,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
12,4.178631450586021,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
13,3.3185331782996657,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
14,4.821159202739596,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
15,4.285984521776438,0.20451041333538625,0.955496321237062,0.9553517321368811,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
16,4.210119655445218,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
17,3.879128876440227,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
18,4.220136978507042,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
19,3.110539307244122,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
20,3.953890165451914,0.20190298184034486,0.9572889387704202,0.957094520267285,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
21,3.4037257834151387,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
22,4.573225970253349,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
23,4.372526336617768,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
24,3.9712886740118267,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
25,4.135056620836258,0.2344546689595762,0.9534542960468887,0.9532273385716397,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
26,3.2578394964262842,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
27,4.089053331047297,NA,NA,NA,0.9612638733009103,0.0001,8606392,depth+lidar+mmwave,0/1/2
