epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,student_modalities,drop_counts
1,16.269615008354187,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
2,10.56151229262352,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
3,7.727214830219745,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
4,6.943984150215983,NA,NA,NA,0.0,0.0001,8606392,depth+lidar+mmwave,0/1/2
5,6.677637359380722,0.3911237463660307,0.9529710687118095,0.9524561663371978,0.9529710687118095,0.0001,8606392,depth+lidar+mmwave,0/1/2
6,7.049195322185755,NA,NA,NA,0.9529710687118095,0.0001,8606392,depth+lidar+mmwave,0/1/2
7,6.591047794744372,NA,NA,NA,0.9529710687118095,0.0001,8606392,depth+lidar+mmwave,0/1/2
8,7.595517164960504,NA,NA,NA,0.9529710687118095,0.0001,8606392,depth+lidar+mmwave,0/1/2
9,7.508722545802593,NA,NA,NA,0.9529710687118095,0.0001,8606392,depth+lidar+mmwave,0/1/2
10,7.027331293776632,0.39232557213017405,0.9569304152637486,0.956670375206348,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
11,6.972353456780314,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
12,7.147409833908081,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
13,7.282680593848228,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
14,7.180549489036203,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
15,6.501894957765937,0.3813074558703605,0.9567121835640354,0.9564357541626592,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
16,6.664001839533448,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
17,6.000390762746334,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
18,6.90334266717732,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
19,6.525614529967308,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
20,6.725561862617731,0.4061921805776872,0.9544051627384961,0.954079114837951,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
21,7.3882810343801975,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
22,6.270906628340483,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
23,7.069841809853911,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
24,6.295609582811594,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
25,6.6437563638985155,0.40402204879525,0.954670158373862,0.954383635682274,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
26,6.081763543456793,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
27,6.786583799600601,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
28,6.203965164706111,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
29,6.274978494495153,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
30,5.538834830090403,0.4095054317336281,0.9559016086793864,0.9554623988532859,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
31,6.280526699632406,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
32,5.798639236241579,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
33,5.932793002530932,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
34,6.313377596467733,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
35,5.496286641895771,0.39562828262186917,0.9566342436712807,0.9563510055891016,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
36,6.11356856931746,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
37,5.973088848739862,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
38,7.224608446314931,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
39,5.76439093413949,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
40,5.108969471856952,0.4119506011988268,0.9552001496445941,0.9549055526765982,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
41,5.785214044257999,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
42,4.910628460645675,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
43,6.024620048165321,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
44,6.548370722748339,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
45,6.0777870655804875,0.4211903115128779,0.9542181069958847,0.9538666613343217,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
46,5.849064363703132,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
47,6.795638848349452,NA,NA,NA,0.9569304152637486,0.0001,8606392,depth+lidar+mmwave,0/1/2
