epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,modalities
1,4.7690441643622705,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
2,5.488444773616622,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
3,5.00169837407616,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
4,4.434608777759289,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
5,3.9036203983010833,0.5899491442466609,0.9412177328843996,0.940569632076034,0.9412177328843996,0.0001,8606392,vk+depth+lidar+mmwave
6,3.621016893531323,NA,NA,NA,0.9412177328843996,0.0001,8606392,vk+depth+lidar+mmwave
1,0.3981526244413108,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
2,1.2726056467499585,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
3,3.594308116070926,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
4,3.3689088845616206,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave
5,4.6010500365966,0.2031133769091801,0.9556833769796733,0.9555738787587472,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
6,5.304732267316431,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
7,5.775910214707255,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
8,5.3657914358768615,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
9,4.891594626522623,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
10,5.573520148359239,0.31298753569712356,0.9491676019453797,0.9490650249479784,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
11,6.502812643862329,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
12,5.834744900939986,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
13,6.066218049137155,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
14,6.381710920773447,NA,NA,NA,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
15,6.362485373569652,0.308949139374633,0.9509758074572889,0.9509827362520518,0.9556833769796733,0.0001,8606392,vk+depth+lidar+mmwave
