modality_set,xfi_mpjpe_mm,xfi_pa_mpjpe_mm,source
vk,93.9,60.3,X-Fi ICLR 2025 Table 1
depth,101.8,48.4,X-Fi ICLR 2025 Table 1
lidar,167.1,103.2,X-Fi ICLR 2025 Table 1
mmwave,127.4,69.8,X-Fi ICLR 2025 Table 1
wifi-csi,225.6,105.3,X-Fi ICLR 2025 Table 1
vk+depth,86.1,48.1,X-Fi ICLR 2025 Table 1
vk+lidar,93.0,59.7,X-Fi ICLR 2025 Table 1
vk+mmwave,88.8,57.3,X-Fi ICLR 2025 Table 1
vk+wifi-csi,93.0,59.5,X-Fi ICLR 2025 Table 1
depth+lidar,102.5,48.4,X-Fi ICLR 2025 Table 1
depth+mmwave,98.0,47.3,X-Fi ICLR 2025 Table 1
depth+wifi-csi,101.8,48.1,X-Fi ICLR 2025 Table 1
lidar+mmwave,109.8,63.4,X-Fi ICLR 2025 Table 1
lidar+wifi-csi,159.5,102.7,X-Fi ICLR 2025 Table 1
mmwave+wifi-csi,117.2,62.7,X-Fi ICLR 2025 Table 1
vk+depth+lidar,84.8,48.2,X-Fi ICLR 2025 Table 1
vk+depth+mmwave,83.4,47.3,X-Fi ICLR 2025 Table 1
vk+depth+wifi-csi,85.3,48.1,X-Fi ICLR 2025 Table 1
vk+lidar+mmwave,88.4,57.2,X-Fi ICLR 2025 Table 1
vk+lidar+wifi-csi,93.0,59.7,X-Fi ICLR 2025 Table 1
vk+mmwave+wifi-csi,88.5,57.1,X-Fi ICLR 2025 Table 1
depth+lidar+mmwave,96.0,47.3,X-Fi ICLR 2025 Table 1
depth+lidar+wifi-csi,102.0,48.1,X-Fi ICLR 2025 Table 1
depth+mmwave+wifi-csi,97.0,47.1,X-Fi ICLR 2025 Table 1
lidar+mmwave+wifi-csi,107.4,63.1,X-Fi ICLR 2025 Table 1
vk+depth+lidar+mmwave,83.5,47.6,X-Fi ICLR 2025 Table 1
vk+depth+lidar+wifi-csi,86.0,48.2,X-Fi ICLR 2025 Table 1
vk+depth+mmwave+wifi-csi,84.0,47.6,X-Fi ICLR 2025 Table 1
vk+lidar+mmwave+wifi-csi,88.6,57.1,X-Fi ICLR 2025 Table 1
depth+lidar+mmwave+wifi-csi,97.6,47.4,X-Fi ICLR 2025 Table 1
vk+depth+lidar+mmwave+wifi-csi,83.7,47.6,X-Fi ICLR 2025 Table 1
