epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,-0.4068805924206972,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.4956575729697943,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.5213868936300278,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.5357091192305088,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.5443442658483982,0.002384154014089619,0.06811579716002678,0.05216561358496134,0.06811579716002678,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.5464813228547573,NA,NA,NA,0.06811579716002678,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.5504584549069405,NA,NA,NA,0.06811579716002678,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.5622963954806328,NA,NA,NA,0.06811579716002678,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.5646196236610412,NA,NA,NA,0.06811579716002678,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.5706720804050565,0.0021146066759806835,0.0649461674223273,0.04412541461369115,0.0649461674223273,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
11,-0.5752034012079239,NA,NA,NA,0.0649461674223273,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
12,-0.5764371502697467,NA,NA,NA,0.0649461674223273,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
13,-0.5807071704566479,NA,NA,NA,0.0649461674223273,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
14,-0.5870960321724414,NA,NA,NA,0.0649461674223273,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
