epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,-0.38296222250163553,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.48857228755950927,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.5146362589001655,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.5291231045126915,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.5391422868967056,0.002506313327460536,0.07243656578576763,0.049565910105507226,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.5447072304785252,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.5479569064825773,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.5578848556280136,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.5602015566825866,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.5678826413750648,0.0029935605947188646,0.08235908281380941,0.04552204036188096,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
11,-0.568756298840046,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
12,-0.5773877260386944,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
13,-0.580103127926588,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
14,-0.5836516919881105,NA,NA,NA,0.07243656578576763,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
15,-0.5871735823266209,0.0018187241528174745,0.05869190634125738,0.04008224047147563,0.05869190634125738,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
16,-0.58084471167624,NA,NA,NA,0.05869190634125738,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
17,-0.5885135268568993,NA,NA,NA,0.05869190634125738,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
18,-0.585954472348094,NA,NA,NA,0.05869190634125738,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
19,-0.5973328842520714,NA,NA,NA,0.05869190634125738,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
20,-0.601072745770216,0.0016244331743783156,0.05463242251576963,0.038439712708151996,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
21,-0.5952083083987236,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
22,-0.5971863794624805,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
23,-0.6009037873446942,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
24,-0.6040991514623165,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
25,-0.61004394069314,0.0017018972543106092,0.05654017088839777,0.03841270484590823,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
26,-0.609179737329483,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
27,-0.6053008140325546,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
28,-0.607154544621706,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
29,-0.6128501438386739,NA,NA,NA,0.05463242251576963,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
30,-0.6139869590997696,0.001545194668621524,0.052856793606934634,0.03617959556177991,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
31,-0.6153953756690025,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
32,-0.6168637086451053,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
33,-0.6161195163726807,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
34,-0.6204380106925964,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
35,-0.616510886579752,0.0015785267744084718,0.05334241146019442,0.03664742661127723,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
36,-0.6131809788942337,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
37,-0.6222399865686894,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
38,-0.623702948898077,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
39,-0.6159094270765781,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
40,-0.6219940305650234,0.001554518926965995,0.05307617568084465,0.03693920734917733,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
41,-0.6274343631565571,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
42,-0.6265974097847938,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
43,-0.6232992259860038,NA,NA,NA,0.052856793606934634,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
