epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,-0.3935780838150531,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.4934923369884491,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.516256008297205,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.5365538882315158,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.538318935751915,0.0021618268220407384,0.06467857998185494,0.04835466559961551,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.5457328889369965,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.5488145090937614,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.5611996298134327,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.5651044184863567,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.5715429227352142,0.0028506497761218615,0.0779602580234243,0.04907739345653761,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
11,-0.5740001994520426,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
12,-0.5758914829790592,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
13,-0.5784551358819008,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
14,-0.5867547293901444,NA,NA,NA,0.06467857998185494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
15,-0.5906375262439251,0.0019298991907049077,0.06218693903117187,0.04069562540301226,0.06218693903117187,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
16,-0.5855303648114204,NA,NA,NA,0.06218693903117187,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
17,-0.5897654019892216,NA,NA,NA,0.06218693903117187,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
18,-0.5904830448329449,NA,NA,NA,0.06218693903117187,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
19,-0.597765492618084,NA,NA,NA,0.06218693903117187,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
20,-0.600653257548809,0.0017367446922960995,0.05658491333793978,0.03920565171632206,0.05658491333793978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
21,-0.5973737230598927,NA,NA,NA,0.05658491333793978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
22,-0.5979326251149177,NA,NA,NA,0.05658491333793978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
23,-0.6043466750085353,NA,NA,NA,0.05658491333793978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
24,-0.6044324139952659,NA,NA,NA,0.05658491333793978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
25,-0.614396772146225,0.0016553990398599841,0.055229632041057845,0.036278658684456344,0.055229632041057845,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
26,-0.6111415116339922,NA,NA,NA,0.055229632041057845,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
27,-0.6035510342121124,NA,NA,NA,0.055229632041057845,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
28,-0.6129187123328448,NA,NA,NA,0.055229632041057845,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
29,-0.6138228659629822,NA,NA,NA,0.055229632041057845,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
30,-0.6153485745191574,0.001515537339252444,0.052094020311791396,0.03457629393988175,0.052094020311791396,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
31,-0.6188699126243591,NA,NA,NA,0.052094020311791396,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
32,-0.615996576976031,NA,NA,NA,0.052094020311791396,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
33,-0.6172732098698616,NA,NA,NA,0.052094020311791396,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
34,-0.6227847813665867,NA,NA,NA,0.052094020311791396,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
35,-0.6190876970887185,0.001498841795647909,0.051143114830523244,0.035083269275857414,0.051143114830523244,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
36,-0.6158425518870354,NA,NA,NA,0.051143114830523244,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
37,-0.6220310589969158,NA,NA,NA,0.051143114830523244,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
38,-0.6260155938491225,NA,NA,NA,0.051143114830523244,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
39,-0.623420676112175,NA,NA,NA,0.051143114830523244,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
40,-0.6239873792529106,0.001461563971984926,0.0502034265072748,0.03473905160570247,0.0502034265072748,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
41,-0.6281592401862145,NA,NA,NA,0.0502034265072748,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
42,-0.6278714767098427,NA,NA,NA,0.0502034265072748,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
43,-0.6237150673568249,NA,NA,NA,0.0502034265072748,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
44,-0.6268129417002201,NA,NA,NA,0.0502034265072748,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
45,-0.6282410363852978,0.0014308762858325447,0.04965701998710959,0.03342974025742286,0.04965701998710959,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
46,-0.6273182472586631,NA,NA,NA,0.04965701998710959,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
47,-0.630299950093031,NA,NA,NA,0.04965701998710959,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
