epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,-0.01728029842674732,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.40011071065813303,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.4380560362264514,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.46078472219407557,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.47186593025922774,0.002328842732615649,0.06742328963035626,0.04833292914085439,0.06742328963035626,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.47883710196614265,NA,NA,NA,0.06742328963035626,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.48620792032778265,NA,NA,NA,0.06742328963035626,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.5011581941097975,NA,NA,NA,0.06742328963035626,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.5046500660888851,NA,NA,NA,0.06742328963035626,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.5137412331625819,0.002089710308944179,0.06374088296308335,0.044586395653189004,0.06374088296308335,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
11,-0.518211023464799,NA,NA,NA,0.06374088296308335,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
12,-0.521185440339148,NA,NA,NA,0.06374088296308335,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
13,-0.5258267437219619,NA,NA,NA,0.06374088296308335,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
14,-0.5325681620426476,NA,NA,NA,0.06374088296308335,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
15,-0.5398698203340173,0.0017443609585717724,0.056810756387823846,0.04140817490382629,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
16,-0.5329506826251745,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
17,-0.5374287953823805,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
18,-0.5351710677593946,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
19,-0.5489234460145235,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
20,-0.5521317041367293,0.0018988691313337538,0.061143196375478694,0.03842558844265963,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
21,-0.5448939226269722,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
22,-0.5472881707102061,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
23,-0.5575831713825464,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
24,-0.557948867559433,NA,NA,NA,0.056810756387823846,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
25,-0.5647348740249872,0.0016673286099415767,0.0562698068089104,0.036920206756984306,0.0562698068089104,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
26,-0.5577140975892544,NA,NA,NA,0.0562698068089104,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
27,-0.5547314723283052,NA,NA,NA,0.0562698068089104,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
28,-0.5598173185437918,NA,NA,NA,0.0562698068089104,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
29,-0.568608582213521,NA,NA,NA,0.0562698068089104,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
30,-0.5684079284518957,0.0015570798145858207,0.0527971987703715,0.03824984573966295,0.0527971987703715,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
31,-0.5688252608180047,NA,NA,NA,0.0527971987703715,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
32,-0.5715698991566897,NA,NA,NA,0.0527971987703715,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
33,-0.571324563190341,NA,NA,NA,0.0527971987703715,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
34,-0.5726236610561609,NA,NA,NA,0.0527971987703715,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
35,-0.5737323436439037,0.001551180686472707,0.05239877678859946,0.03706813910049016,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
36,-0.5710316893458366,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
37,-0.5752861269116402,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
38,-0.5797787376791239,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
39,-0.5739151357114315,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
40,-0.5801207905709743,0.0016262251442705478,0.05425949497230854,0.038031340323622334,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
41,-0.5817111533135175,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
42,-0.5824287255704403,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
43,-0.5769369370564819,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
44,-0.5863217504620553,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
45,-0.5851809016764163,0.0015791300315289288,0.053615769353040306,0.036156469965464205,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
46,-0.5821179747730494,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
47,-0.5861020569205284,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
48,-0.5831469677388668,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
49,-0.5791227258816362,NA,NA,NA,0.05239877678859946,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
50,-0.5888577478826046,0.00154284384251275,0.05227593700714481,0.03721668879323755,0.05227593700714481,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
51,-0.5930660788714885,NA,NA,NA,0.05227593700714481,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
52,-0.5877700254917145,NA,NA,NA,0.05227593700714481,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
53,-0.58918176060915,NA,NA,NA,0.05227593700714481,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
