epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
1,0.015812511725816877,NA,NA,NA,inf,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
2,0.004411361599573865,NA,NA,NA,inf,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
3,0.003848930998472497,NA,NA,NA,inf,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
4,0.0036301750286947937,NA,NA,NA,inf,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
5,0.00341047276603058,0.00190077063012205,0.06047257135153813,0.045342157415330965,0.06047257135153813,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
6,0.0033094399818219245,NA,NA,NA,0.06047257135153813,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
7,0.0032093958146870135,NA,NA,NA,0.06047257135153813,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
8,0.0030751277429517357,NA,NA,NA,0.06047257135153813,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
9,0.0030384190620388837,NA,NA,NA,0.06047257135153813,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
10,0.002969716147053987,0.0017607911542282836,0.05805041433153701,0.04058265464800371,0.05805041433153701,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
11,0.0028711348273791374,NA,NA,NA,0.05805041433153701,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
12,0.002808818136458285,NA,NA,NA,0.05805041433153701,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
13,0.0027709651649929583,NA,NA,NA,0.05805041433153701,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
14,0.0027171043413691223,NA,NA,NA,0.05805041433153701,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
15,0.0026770819941302764,0.0016229143228301969,0.0538410538226117,0.037500569927117686,0.0538410538226117,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
16,0.0026112265459960326,NA,NA,NA,0.0538410538226117,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
17,0.0025716813171748074,NA,NA,NA,0.0538410538226117,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
18,0.0025509794999379666,NA,NA,NA,0.0538410538226117,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
19,0.002506131391157396,NA,NA,NA,0.0538410538226117,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
20,0.0024879921077517794,0.0016088498451016832,0.053625526358000074,0.03749743644317119,0.053625526358000074,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
21,0.0024596918545430526,NA,NA,NA,0.053625526358000074,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
22,0.002439834971097298,NA,NA,NA,0.053625526358000074,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
23,0.002372590785380453,NA,NA,NA,0.053625526358000074,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
24,0.002374316846835427,NA,NA,NA,0.053625526358000074,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
25,0.002330716634285636,0.0015782293280603324,0.053186480039996625,0.03746277771683759,0.053186480039996625,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
26,0.0023299613130511715,NA,NA,NA,0.053186480039996625,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
27,0.002288331151125021,NA,NA,NA,0.053186480039996625,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
28,0.0022462607976049187,NA,NA,NA,0.053186480039996625,0.0001,5740264,vk+depth+lidar+mmwave+wifi-csi
