epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,0.5755960774123668,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.33920183655619623,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.39367680677771566,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.4105542370378971,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.43154581274837256,0.0020924770583113867,0.0665334044353023,0.047170736655667775,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.44552266819775105,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.455252775028348,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.4696564476341009,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.4801217935681343,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.4877329412698746,0.002088134466993147,0.0684518393522591,0.043520431452617504,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
11,-0.49409550306200983,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
12,-0.49745089693367484,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
13,-0.5017871473431588,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
14,-0.5104576494991779,NA,NA,NA,0.0665334044353023,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
15,-0.52297660151124,0.0015137012279627295,0.05574340332164285,0.039038089069779514,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
16,-0.5119216659665108,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
17,-0.520750427275896,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
18,-0.5217642798274755,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
19,-0.5356715394854545,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
20,-0.5375120732486248,0.0015075843323164165,0.05643754587281685,0.038291479903986625,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
21,-0.5301444971263408,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
22,-0.5303192697018385,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
23,-0.5417014764547348,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
24,-0.5442122787088156,NA,NA,NA,0.05574340332164285,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
25,-0.5568730093836785,0.0014196465307103256,0.05409298773215274,0.03642918817706316,0.05409298773215274,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
26,-0.5492837613970041,NA,NA,NA,0.05409298773215274,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
27,-0.5410791917443275,NA,NA,NA,0.05409298773215274,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
28,-0.5478773422241211,NA,NA,NA,0.05409298773215274,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
29,-0.5572916295677424,NA,NA,NA,0.05409298773215274,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
30,-0.557040356695652,0.0013882387920673242,0.05364878468140207,0.035448906236089324,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
31,-0.5615830224454403,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
32,-0.5603118053376674,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
33,-0.5643092530965805,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
34,-0.5662824185788632,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
35,-0.5622271524071694,0.0015419156717388874,0.05686918752341589,0.03704986835185534,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
36,-0.557595474243164,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
37,-0.5681149892583489,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
38,-0.5717546520829201,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
39,-0.5648668756484986,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
40,-0.5730857765376568,0.0014925118861702545,0.056522725993858665,0.036605294622430146,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
41,-0.5750949781537056,NA,NA,NA,0.05364878468140207,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
