epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
1,0.0164108970167581,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
2,0.004673950518015772,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
3,0.004089624242857098,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
4,0.0037645028242841365,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
5,0.0035776323361787943,0.0019102664779656147,0.06053344285563201,0.04288575126709337,0.06053344285563201,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
6,0.0033959791485685853,NA,NA,NA,0.06053344285563201,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
7,0.0033108882606029512,NA,NA,NA,0.06053344285563201,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
8,0.0032103038034401836,NA,NA,NA,0.06053344285563201,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
9,0.0031135630493517967,NA,NA,NA,0.06053344285563201,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
10,0.0030432208727579563,0.0018242633851625518,0.0596053617332683,0.04048763224348428,0.0596053617332683,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
11,0.002998750943457708,NA,NA,NA,0.0596053617332683,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
12,0.0029022551093949005,NA,NA,NA,0.0596053617332683,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
13,0.0028689762649592014,NA,NA,NA,0.0596053617332683,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
14,0.002857293317327276,NA,NA,NA,0.0596053617332683,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
15,0.0027524734027683734,0.0016321778532359988,0.05451051605518567,0.0375255213320621,0.05451051605518567,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
16,0.002724807545542717,NA,NA,NA,0.05451051605518567,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
17,0.0027074185432866215,NA,NA,NA,0.05451051605518567,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
18,0.002661691689747386,NA,NA,NA,0.05451051605518567,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
19,0.0026145040306728333,NA,NA,NA,0.05451051605518567,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
20,0.0025403602801961824,0.0015422194172643438,0.05242445184681381,0.037363279365408765,0.05242445184681381,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
21,0.0025709669198840856,NA,NA,NA,0.05242445184681381,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
22,0.002505236704600975,NA,NA,NA,0.05242445184681381,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
23,0.002452896560658701,NA,NA,NA,0.05242445184681381,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
24,0.0024274807164911183,NA,NA,NA,0.05242445184681381,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
25,0.00242417411506176,0.0015089604862122935,0.05139082477977707,0.03571689377060202,0.05139082477977707,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
26,0.002374566310783848,NA,NA,NA,0.05139082477977707,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
27,0.0023846876721363513,NA,NA,NA,0.05139082477977707,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
28,0.0023655906973872333,NA,NA,NA,0.05139082477977707,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
29,0.002312571987742558,NA,NA,NA,0.05139082477977707,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
30,0.002315780267934315,0.0014994236534320966,0.051216402322784196,0.035705862771828106,0.051216402322784196,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
31,0.0022721632367465644,NA,NA,NA,0.051216402322784196,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
32,0.002244018800905906,NA,NA,NA,0.051216402322784196,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
33,0.002262091920361854,NA,NA,NA,0.051216402322784196,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
34,0.0022609367384575307,NA,NA,NA,0.051216402322784196,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
35,0.0021883970013586804,0.0014818932083448713,0.05096114442924978,0.03537404171706613,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
36,0.0021838114815764128,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
37,0.002190975773381069,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
38,0.0021367067706305532,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
39,0.0021312552239978687,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
40,0.002136459038243629,0.0015104892621920036,0.051662092425662214,0.03467773041372923,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
41,0.002074816919164732,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
42,0.0021000895296456293,NA,NA,NA,0.05096114442924978,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
