epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,modalities
1,0.016280064266873524,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
2,0.004504424347076565,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
3,0.003963781566126272,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
4,0.003684015717357397,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
5,0.003434806925011799,0.0030403410619774455,0.08535794770387599,0.04639774112995197,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
6,0.0032803806306328626,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
7,0.003185733570717275,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
8,0.003052616145228967,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
9,0.003025559422094375,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
10,0.002920940352138132,0.003316706281749053,0.09003402078585786,0.04312509109795478,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
11,0.002922368696657941,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
12,0.002834400655468926,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
13,0.002758102071355097,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
14,0.002693081330275163,NA,NA,NA,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
15,0.0027078983772080394,0.0033884771512120997,0.09087314620114187,0.043929244044541446,0.08535794770387599,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi
