protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_scene,E01,S01,A01,0,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame001.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame001.npy,595.04766846,19.06205940,31.08093262,75.86091614,0.09663777,0.05882353,0.82352941,321.62304688
cross_scene,E01,S01,A01,5,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame006.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame006.npy,390.16943359,15.89077950,23.91422081,68.52995300,0.07492096,0.23529412,0.88235294,319.19265747
cross_scene,E01,S01,A01,10,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame011.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame011.npy,422.11218262,16.17747498,24.96012878,72.65851593,0.07836115,0.17647059,0.88235294,318.52682495
cross_scene,E01,S01,A01,15,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame016.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame016.npy,416.40856934,15.56330776,24.12631798,70.69064331,0.07532974,0.23529412,0.88235294,320.27615356
cross_scene,E01,S01,A01,20,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame021.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame021.npy,441.62768555,16.39750481,24.77472305,69.26597595,0.07807677,0.29411765,0.88235294,317.31234741
cross_scene,E01,S01,A01,25,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame026.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame026.npy,428.70874023,16.10389709,24.37275505,66.27526855,0.07647048,0.35294118,0.88235294,318.72109985
cross_scene,E01,S01,A01,30,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame031.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame031.npy,550.96307373,18.10439682,28.01633835,73.99044800,0.08749384,0.29411765,0.82352941,320.20925903
cross_scene,E01,S01,A01,35,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame036.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame036.npy,520.10443115,17.79251480,27.31954384,77.19981384,0.08514115,0.23529412,0.88235294,320.87356567
cross_scene,E01,S01,A01,40,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame041.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame041.npy,540.68737793,17.90674210,27.80560684,77.17100525,0.08921734,0.23529412,0.76470588,311.66146851
cross_scene,E01,S01,A01,45,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame046.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_scene/E01/S01/A01/frame046.npy,488.00912476,16.82124329,26.36646271,76.21873474,0.08425371,0.23529412,0.88235294,312.94128418
