protocol,scene,subject,action,idx,rgb_vk_path,mmwave_vk_path,mse,mae,mean_joint_error,max_joint_error,nme,pck05,pck10,bbox_diag
cross_subject,E01,S01,A01,0,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame001.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame001.npy,882.29595947,23.96241951,36.20673752,92.92944336,0.11257507,0.11764706,0.47058824,321.62304688
cross_subject,E01,S01,A01,5,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame006.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame006.npy,617.43530273,20.99718475,32.86632538,73.36367035,0.10296705,0.05882353,0.52941176,319.19265747
cross_subject,E01,S01,A01,10,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame011.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame011.npy,682.83050537,21.84136963,33.38386154,84.21231079,0.10480706,0.05882353,0.58823529,318.52682495
cross_subject,E01,S01,A01,15,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame016.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame016.npy,633.55255127,20.43604279,32.06025314,80.00546265,0.10010191,0.11764706,0.58823529,320.27615356
cross_subject,E01,S01,A01,20,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame021.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame021.npy,853.19226074,24.16857910,38.45222473,82.59526825,0.12118099,0.05882353,0.29411765,317.31234741
cross_subject,E01,S01,A01,25,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame026.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame026.npy,953.61602783,25.26425934,41.22409821,83.14475250,0.12934223,0.05882353,0.23529412,318.72109985
cross_subject,E01,S01,A01,30,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame031.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame031.npy,826.57666016,23.55209160,36.33161926,85.68743134,0.11346211,0.05882353,0.47058824,320.20925903
cross_subject,E01,S01,A01,35,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame036.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame036.npy,880.90020752,23.70796394,38.93063736,85.41760254,0.12132703,0.05882353,0.35294118,320.87356567
cross_subject,E01,S01,A01,40,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame041.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame041.npy,955.37475586,24.83478165,40.70665741,87.86490631,0.13061177,0.00000000,0.23529412,311.66146851
cross_subject,E01,S01,A01,45,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame046.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame046.npy,925.13183594,24.85219955,39.90576935,88.42892456,0.12751839,0.05882353,0.29411765,312.94128418
cross_subject,E01,S01,A01,50,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame051.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame051.npy,1309.51660156,29.59726906,48.18739700,97.20351410,0.15291557,0.00000000,0.17647059,315.12420654
cross_subject,E01,S01,A01,55,/apps/users/icps_intelligence/data/lyg/code/MMFi_DATA/E01/S01/A01/rgb/frame056.npy,RGB-Subset-Fairness/outputs_mmwave_vk/generated_vk/cross_subject/E01/S01/A01/frame056.npy,1010.74633789,26.01642418,41.46992493,87.44543457,0.13001319,0.05882353,0.29411765,318.96707153
