index,name,title,kind,status,reason,returncode,seconds,outputs
1,random_super_teacher_train,random | Super Teacher training,train,dry_run,,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_hpe.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_har.pth
2,random_super_teacher_hpe_eval31,random | Super Teacher HPE combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_random_hpe_all_combinations.csv
3,random_super_teacher_har_eval,random | Super Teacher HAR combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_random_har_all_combinations.csv
4,random_hpe_student_vk_train,random | HPE Student-VK training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_vk\best.pth
5,random_hpe_student_vk_eval31,random | HPE Student-VK combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_vk\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_vk_all_combinations.csv
6,random_hpe_student_nv_train,random | HPE Student-NV training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_nv\best.pth
7,random_hpe_student_nv_eval,random | HPE Student-NV nonvisual combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_nv\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_random_nv_nonvisual_combinations.csv
8,random_har_student_vk_train,random | HAR Student-VK training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_vk\best.pth
9,random_har_student_vk_eval,random | HAR Student-VK combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_vk\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_har_student_random_vk_all_combinations.csv
10,random_har_student_nv_train,random | HAR Student-NV training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_nv\best.pth
11,random_har_student_nv_eval,random | HAR Student-NV nonvisual combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_har_student_nv\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_har_student_random_nv_nonvisual_combinations.csv
12,cross_scene_super_teacher_train,cross_scene | Super Teacher training,train,dry_run,,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_joint.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_hpe.pth;E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_har.pth
13,cross_scene_super_teacher_hpe_eval31,cross_scene | Super Teacher HPE combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_cross_scene_hpe_all_combinations.csv
14,cross_scene_super_teacher_har_eval,cross_scene | Super Teacher HAR combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_teacher_cross_scene_har_all_combinations.csv
15,cross_scene_hpe_student_vk_train,cross_scene | HPE Student-VK training from Super Teacher,train,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_teacher_cross_scene\best_joint.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_scene_vk\best.pth
16,cross_scene_hpe_student_vk_eval31,cross_scene | HPE Student-VK combinations,eval,skipped,missing_required=E:\Deskbook\Tea\Super-Teacher\outputs\super_hpe_student_cross_scene_vk\best.pth,0,0.000,E:\Deskbook\Tea\Super-Teacher\outputs\eval\super_hpe_student_cross_scene_vk_all_combinations.csv
