file_path,task,method_name,metric_name,metric_value,modality_setting,is_ours,is_ori_xfi_baseline,is_superteacher_exploration,supports_which_contribution,can_be_used_in_main_paper,issue_or_risk
E:\Deskbook\Tea\figures\fig1_overall_framework.png,unknown,fig1_overall_framework,figure,NA,fig1_overall_framework,True,False,False,none,yes,
E:\Deskbook\Tea\figures\fig2_missing_modality_setting.png,missing_modality,fig2_missing_modality_setting,figure,NA,fig2_missing_modality_setting,True,False,False,C2_missing_robustness,yes,
E:\Deskbook\Tea\figures\fig3_main_results.png,unknown,fig3_main_results,figure,NA,fig3_main_results,True,False,False,none,yes,
E:\Deskbook\Tea\figures\fig4_missing_modality_robustness.png,missing_modality,fig4_missing_modality_robustness,figure,NA,fig4_missing_modality_robustness,True,False,False,C2_missing_robustness,yes,
E:\Deskbook\Tea\figures\fig5_ablation.png,ablation,fig5_ablation,figure,NA,fig5_ablation,True,False,False,none,yes,
E:\Deskbook\Tea\figures\fig6_reliability_weights.png,reliability,fig6_reliability_weights,figure,NA,fig6_reliability_weights,True,False,False,C3_reliability_fusion,yes,
E:\Deskbook\Tea\figures\fig6a_hpe_reliability_weights.png,reliability,fig6a_hpe_reliability_weights,figure,NA,fig6a_hpe_reliability_weights,True,False,False,C3_reliability_fusion,yes,
E:\Deskbook\Tea\figures\fig6b_har_reliability_weights.png,reliability,fig6b_har_reliability_weights,figure,NA,fig6b_har_reliability_weights,True,False,False,C3_reliability_fusion,yes,
E:\Deskbook\Tea\figures\FIGURE_GENERATION_GUIDE.md,unknown,FIGURE_GENERATION_GUIDE,NA,NA,file,True,False,False,none,yes,
E:\Deskbook\Tea\figures\framework_plan.md,unknown,framework_plan,NA,NA,file,True,False,False,none,yes,
E:\Deskbook\Tea\figures\missing_modality_plot_plan.md,missing_modality,missing_modality_plot_plan,NA,NA,file,True,False,False,C2_missing_robustness,yes,
E:\Deskbook\Tea\figures\reliability_visualization_plan.md,reliability,reliability_visualization_plan,NA,NA,file,True,False,False,C3_reliability_fusion,yes,
E:\Deskbook\Tea\HAR\docs\HAR_VK_RCD_GUIDE.md,HAR,HAR_VK_RCD_GUIDE,NA,NA,file,True,False,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\HAR_INNOVATION_AND_EXECUTION.md,HAR,HAR_INNOVATION_AND_EXECUTION,NA,NA,file,True,False,False,C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,62.46,all_rows_mean,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,26.5,vk,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,48.1,depth,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,52.7,lidar,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,85.7,mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,45.3,vk+depth,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,35.2,vk+lidar,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,73.4,vk+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,51.6,depth+lidar,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,79.8,depth+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,88.7,lidar+mmwave,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
E:\Deskbook\Tea\HAR\legacy_xfi\xfi_har_table6.csv,baseline,xfi_har_table6,xfi_acc_pct,48.7,vk+depth+lidar,False,True,False,C1_privacy_vk;C5_hpe_har_validation,yes,
