epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,student_modalities,drop_counts
1,9.30163719733556,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
2,5.684407585263252,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
3,5.197530346711477,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
4,4.697704209089279,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
5,4.726900866627693,0.01451753653380365,0.995625,0.5443783068268392,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
6,4.380852322479089,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
7,4.3022844165563585,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
8,3.7866996571421625,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
9,3.767410433292389,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
10,3.9657065226634343,0.05532967711745187,0.98125,0.49480839015338957,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
