epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,student_modalities,drop_counts
1,9.835416417916615,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
2,6.013914132515589,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
3,5.089349419673284,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
4,4.529583160877228,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
5,4.191918935577075,0.0240790472037952,0.9925,0.7474424053104256,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
6,4.221281055410703,NA,NA,NA,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
7,4.198407131632169,NA,NA,NA,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
8,3.955425471365452,NA,NA,NA,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
9,4.1384712192416195,NA,NA,NA,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
10,3.8922591310242813,0.02469292344781934,0.98875,0.7461508791102825,0.9925,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
