epoch,train_loss,val_loss,val_acc,val_macro_f1,best_acc,lr,params,student_modalities,drop_counts
1,9.22187594095866,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
2,5.669698678453764,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
3,5.173847843805949,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
4,4.700809673865636,NA,NA,NA,0.0,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
5,4.717302976648013,0.014476531468535541,0.995625,0.5988138354372031,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
6,4.33223697612683,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
7,4.235836450556914,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
8,3.7088126580913863,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
9,3.7177230444550515,NA,NA,NA,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
10,3.933520064850648,0.07698134572103299,0.979375,0.45710622862127226,0.995625,0.0001,8606392,vk+depth+lidar+mmwave,1/2/3
