modality_set,mse,mpjpe,pa_mpjpe,params,fps,peak_memory,method,split,protocol,readout_mode
vk,0.0073067294154316184,0.12445741802453995,0.07162948914272418,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth,0.0022867431020131336,0.06496977735310792,0.04768640272565843,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
lidar,0.016026230421848597,0.18263131365180016,0.10859511213037283,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
mmwave,0.0070349292131140825,0.11981508255004883,0.07836770239151733,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
wifi-csi,0.02330902780406177,0.2258856265246868,0.11647252362428627,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth,0.002395609102677554,0.06653006307780743,0.04775229876946149,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+lidar,0.006075500955339521,0.11092419527471066,0.0666858601572719,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+mmwave,0.004941873478237539,0.09729797288775444,0.06582564987223388,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+wifi-csi,0.006153796233702451,0.1115125209838152,0.06875005689438479,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+lidar,0.0025036672700662166,0.07036950957030058,0.0470793038361915,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+mmwave,0.0024323842092417182,0.06780690979212523,0.04811784699710297,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+wifi-csi,0.0022112408524844794,0.06412894804030657,0.047578795542608805,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
lidar+mmwave,0.006770124691538513,0.11599237352609634,0.07654614285420182,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
lidar+wifi-csi,0.01630668557714671,0.18398937463760376,0.10815036157788091,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
mmwave+wifi-csi,0.006653834923636168,0.1148736323416233,0.07637820969765871,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+lidar,0.0024278920271899552,0.06746855784207582,0.04709254738622642,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+mmwave,0.002434073174954392,0.0669092807918787,0.04805348414239929,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+wifi-csi,0.002224267622223124,0.06269604362547397,0.04753726077116239,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+lidar+mmwave,0.004721565284999087,0.09441854618489742,0.06379382336772434,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+lidar+wifi-csi,0.005852783340960741,0.10820794269442559,0.06724201248554676,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+mmwave+wifi-csi,0.0046294360409956424,0.09247816514223814,0.06414189717538489,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+lidar+mmwave,0.002480126884765923,0.06908937603235245,0.04784564401563436,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+lidar+wifi-csi,0.002446505620027892,0.06941707964986563,0.04797026450795837,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+mmwave+wifi-csi,0.0022899239469552413,0.06482721064239741,0.04790528813974078,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
lidar+mmwave+wifi-csi,0.006806519906967878,0.11623057290911674,0.0767248511928012,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+lidar+mmwave,0.002420767997391522,0.06676468782126904,0.04772891000112233,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+lidar+wifi-csi,0.002327281380421482,0.06526126757264138,0.04754913078466095,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+mmwave+wifi-csi,0.00228103221335914,0.06336572293192148,0.0477678969238503,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+lidar+mmwave+wifi-csi,0.0046239861310459675,0.09273642942309379,0.06341647195400797,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
depth+lidar+mmwave+wifi-csi,0.002411467404454015,0.06770295973867178,0.04807489226907765,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
vk+depth+lidar+mmwave+wifi-csi,0.0023284012073418125,0.06463832180947066,0.0477905757342438,8895208,NA,NA,VK-RMD-HPE-Readout-chunk_only,random_split,protocol3,chunk_only
