epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,0.8108871328830719,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.28241050546367963,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.3492257798711459,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.38546068290869395,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.39265156594415507,0.003187109453137964,0.08086987301707267,0.050574602132388354,0.08086987301707267,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.41914294550816217,NA,NA,NA,0.08086987301707267,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.42701388349135716,NA,NA,NA,0.08086987301707267,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.43479341104626656,NA,NA,NA,0.08086987301707267,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.43264061947663623,NA,NA,NA,0.08086987301707267,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.46091553012530007,0.0023275213030865415,0.06464575704187155,0.04780468365040982,0.06464575704187155,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
