modality_set,mse,mpjpe,pa_mpjpe,params,fps,peak_memory,method,split,protocol,readout_mode
vk,0.005913751311600208,0.10300640419125556,0.0738542876710177,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth,0.0026825960667338222,0.07312324147671462,0.05441425316177842,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
lidar,0.016402512723580003,0.18523518443107606,0.10836320463660418,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
mmwave,0.007695454016793519,0.1259092515707016,0.08313454699894306,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
wifi-csi,0.019227956789545714,0.19493320845067502,0.10498115006201685,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth,0.0025455121410777794,0.06851218849420547,0.0538602611166468,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+lidar,0.0065205704513937235,0.11508227795362473,0.07260331022981785,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+mmwave,0.004900190132902935,0.09388372126966715,0.07227161779442483,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+wifi-csi,0.00614714581053704,0.10684036508202553,0.07266652752490381,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+lidar,0.0031994682108052075,0.08273448064923286,0.055113766393465886,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+mmwave,0.002887839744798839,0.07584296725690365,0.056196805126669726,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+wifi-csi,0.0028801616979762914,0.07706415098160506,0.05463936392560275,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
lidar+mmwave,0.007217981324065477,0.12112393148243428,0.08019478317565003,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
lidar+wifi-csi,0.01605847941711545,0.1816638371348381,0.10767259945288755,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
mmwave+wifi-csi,0.006838281548116356,0.1162972503900528,0.07938222018262688,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+lidar,0.002913463122677058,0.07618085328489542,0.054643886912912,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+mmwave,0.002739137702155858,0.07156152423471213,0.05558650642984397,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+wifi-csi,0.002681887977523729,0.07142783146351576,0.05466790918887829,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+lidar+mmwave,0.005108239852124825,0.09899975955486298,0.07032745200923862,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+lidar+wifi-csi,0.006653013518080115,0.11546440929174423,0.07340204789750927,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+mmwave+wifi-csi,0.004857653413200751,0.09338502295315265,0.07132801424314762,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+lidar+mmwave,0.0030833479564171284,0.07943540878593922,0.056144434196064755,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+lidar+wifi-csi,0.003205706614535302,0.08276648588478565,0.055636345848363265,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+mmwave+wifi-csi,0.0028833208768628536,0.07571929637342692,0.05616921558213911,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
lidar+mmwave+wifi-csi,0.007058588713407516,0.11904657498002053,0.0802744913489818,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+lidar+mmwave,0.0029040137189440427,0.07504882290959358,0.05572460962380268,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+lidar+wifi-csi,0.002952531580813229,0.07695359598845243,0.05540738908467414,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+mmwave+wifi-csi,0.0027504229918122293,0.07189991991966962,0.0559716608085899,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+lidar+mmwave+wifi-csi,0.00513063260819763,0.09897038713097572,0.07051057824801854,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
depth+lidar+mmwave+wifi-csi,0.0030655764124821873,0.07918103136122227,0.056526180043695015,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
vk+depth+lidar+mmwave+wifi-csi,0.002910653029102832,0.07529311634600162,0.05626681139561268,8895208,NA,NA,VK-RMD-HPE-Readout-dual,random_split,protocol3,dual
