epoch,train_loss,val_mse,val_mpjpe,val_pa_mpjpe,best_mpjpe,lr,params,student_modalities,drop_counts
1,0.7947959216932455,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
2,-0.28181291587650775,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
3,-0.34495188082257905,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
4,-0.3816277387986581,NA,NA,NA,inf,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
5,-0.3917492430905501,0.00483368837973103,0.10075861155986786,0.06710794813467466,0.10075861155986786,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
6,-0.4169238011042277,NA,NA,NA,0.10075861155986786,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
7,-0.4274372638265292,NA,NA,NA,0.10075861155986786,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
8,-0.43496465067068735,NA,NA,NA,0.10075861155986786,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
9,-0.43241014768679936,NA,NA,NA,0.10075861155986786,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
10,-0.45372326880693437,0.002909192987717688,0.07527113012969494,0.05626938057356121,0.07527113012969494,0.0001,8895208,vk+depth+lidar+mmwave+wifi-csi,1/2/3
