modality_set,mse,mpjpe,pa_mpjpe,params,fps,peak_memory,method,split,protocol,readout_mode
vk,0.007535227611660957,0.12275994338095188,0.08266284455605268,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth,0.004228177079930902,0.09396559186279774,0.06852930353407452,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
lidar,0.01749674149788916,0.1911674851179123,0.11735241078870087,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
mmwave,0.008749984037131071,0.13315929755568504,0.09662368788218696,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
wifi-csi,0.02092590432148427,0.20691601797938347,0.11711249537521173,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth,0.003630543512990698,0.08211992952972651,0.06625381646013598,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+lidar,0.006845442641060799,0.117275630235672,0.0775686656135333,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+mmwave,0.006058774925768375,0.10872549407184123,0.07889796184093405,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+wifi-csi,0.00605398042825982,0.10460547618567943,0.07658349453172429,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+lidar,0.00459301297320053,0.09926335662603378,0.06868198722318457,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+mmwave,0.003892759376903996,0.08677049946039915,0.06862249694719676,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+wifi-csi,0.004464596681063995,0.0967998344451189,0.06747006188708943,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
lidar+mmwave,0.007856835268903524,0.125063154771924,0.08942975960401837,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
lidar+wifi-csi,0.01824227691628039,0.19677701517939566,0.11757743330918054,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
mmwave+wifi-csi,0.007601928969379514,0.12205547608435154,0.08896854750118699,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+lidar,0.00394952847622335,0.087624207213521,0.0674710405547076,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+mmwave,0.0036953502846881745,0.08206418875604868,0.06797965301486648,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+wifi-csi,0.003819721060572192,0.08500550050288438,0.06677435949766622,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+lidar+mmwave,0.005706514096818865,0.1049605030566454,0.07634337218340506,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+lidar+wifi-csi,0.006823758410755545,0.1163696750998497,0.07669464232446281,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+mmwave+wifi-csi,0.005573165041860193,0.10228856924921274,0.07668110463936235,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+lidar+mmwave,0.004061204208992422,0.08977089509367943,0.06958108348385661,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+lidar+wifi-csi,0.0046559930872172115,0.09926126182079315,0.0698803722834718,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+mmwave+wifi-csi,0.003918355638161302,0.0870322261378169,0.0687844275008298,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
lidar+mmwave+wifi-csi,0.007857166910544038,0.12511805020272732,0.08868682667407597,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+lidar+mmwave,0.0038399487105198206,0.08491028591990471,0.06901672530627419,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+lidar+wifi-csi,0.004093976598232985,0.08950466334819794,0.06849379371080003,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+mmwave+wifi-csi,0.00373295979690738,0.08282496888190508,0.06854316315530229,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+lidar+mmwave+wifi-csi,0.005650830464437604,0.1039290838688612,0.07567273398695976,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
depth+lidar+mmwave+wifi-csi,0.004112332568038255,0.09015410132706166,0.07040289572856957,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
vk+depth+lidar+mmwave+wifi-csi,0.0039034572744276377,0.08585611093789339,0.06970853813565664,8895208,NA,NA,VK-RMD-HPE-Readout-global_only,random_split,protocol3,global_only
