index,name,status,reason,returncode,seconds,outputs
1,depth_vk_generator_random,done,,0,8158.765,/apps/users/icps_intelligence/data/lyg/X-Fi/RGB-Subset-Fairness/outputs_depth_vk/generators/random/best.pth;/apps/users/icps_intelligence/data/lyg/X-Fi/RGB-Subset-Fairness/outputs_depth_vk/generators/random/export_complete.json
2,depth_vk_generator_cross_subject,skipped,outputs_exist_epoch:9,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/RGB-Subset-Fairness/outputs_depth_vk/generators/cross_subject/best.pth;/apps/users/icps_intelligence/data/lyg/X-Fi/RGB-Subset-Fairness/outputs_depth_vk/generators/cross_subject/export_complete.json
3,depth_vk_hpe_teacher_random_train,failed,,1,188.737,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/teacher_vk_random/best.pth
4,depth_vk_hpe_student_random_train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/teacher_vk_random/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/student_vk_random/best.pth
5,depth_vk_hpe_student_random_eval31,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/student_vk_random/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/eval/student_vk_random_all_combinations.csv
6,depth_vk_har_teacher_random_train,failed,,1,135.756,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/teacher_vk_random/best.pth
7,depth_vk_har_student_random_train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/teacher_vk_random/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/student_vk_random/best.pth
8,depth_vk_har_student_random_eval15,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/student_vk_random/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/eval/student_vk_random_all_combinations.csv
9,depth_vk_hpe_teacher_cross_subject_train,failed,,1,186.497,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/teacher_vk_cross_subject/best.pth
10,depth_vk_hpe_student_cross_subject_train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/teacher_vk_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/student_vk_cross_subject/best.pth
11,depth_vk_hpe_student_cross_subject_eval31,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/student_vk_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_depth_vk/eval/student_vk_cross_subject_all_combinations.csv
12,depth_vk_har_teacher_cross_subject_train,failed,,1,145.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/teacher_vk_cross_subject/best.pth
13,depth_vk_har_student_cross_subject_train,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/teacher_vk_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/student_vk_cross_subject/best.pth
14,depth_vk_har_student_cross_subject_eval15,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/student_vk_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_depth_vk/eval/student_vk_cross_subject_all_combinations.csv
