index,name,status,reason,returncode,seconds,outputs
1,mmwave_vk_generator_cross_scene,dry_run,,0,0.000,E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_scene\best.pth;E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_scene\export_complete.json
2,mmwave_vk_generator_cross_subject,dry_run,,0,0.000,E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_subject\best.pth;E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_subject\export_complete.json
3,mmwave_vk_hpe_teacher_cross_scene_train,skipped,missing_required=E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_scene\export_complete.json,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\teacher_vk_cross_scene\best.pth
4,mmwave_vk_hpe_student_cross_scene_train,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs_mmwave_vk\teacher_vk_cross_scene\best.pth,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\student_vk_cross_scene\best.pth
5,mmwave_vk_hpe_student_cross_scene_eval31,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs_mmwave_vk\student_vk_cross_scene\best.pth,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\eval\student_vk_cross_scene_all_combinations.csv
6,mmwave_vk_har_teacher_cross_scene_train,skipped,missing_required=E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_scene\export_complete.json,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\teacher_vk_cross_scene\best.pth
7,mmwave_vk_har_student_cross_scene_train,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs_mmwave_vk\teacher_vk_cross_scene\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\student_vk_cross_scene\best.pth
8,mmwave_vk_har_student_cross_scene_eval15,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs_mmwave_vk\student_vk_cross_scene\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\eval\student_vk_cross_scene_all_combinations.csv
9,mmwave_vk_hpe_teacher_cross_subject_train,skipped,missing_required=E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_subject\export_complete.json,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\teacher_vk_cross_subject\best.pth
10,mmwave_vk_hpe_student_cross_subject_train,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs_mmwave_vk\teacher_vk_cross_subject\best.pth,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\student_vk_cross_subject\best.pth
11,mmwave_vk_hpe_student_cross_subject_eval31,skipped,missing_required=E:\Deskbook\Tea\HPE\outputs_mmwave_vk\student_vk_cross_subject\best.pth,0,0.000,E:\Deskbook\Tea\HPE\outputs_mmwave_vk\eval\student_vk_cross_subject_all_combinations.csv
12,mmwave_vk_har_teacher_cross_subject_train,skipped,missing_required=E:\Deskbook\Tea\RGB-Subset-Fairness\outputs_mmwave_vk\generators\cross_subject\export_complete.json,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\teacher_vk_cross_subject\best.pth
13,mmwave_vk_har_student_cross_subject_train,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs_mmwave_vk\teacher_vk_cross_subject\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\student_vk_cross_subject\best.pth
14,mmwave_vk_har_student_cross_subject_eval15,skipped,missing_required=E:\Deskbook\Tea\HAR\outputs_mmwave_vk\student_vk_cross_subject\best.pth,0,0.000,E:\Deskbook\Tea\HAR\outputs_mmwave_vk\eval\student_vk_cross_subject_all_combinations.csv
15,mmwave_vk_feasibility_summary,dry_run,,0,0.000,E:\Deskbook\Tea\tables\mmwave_vk_feasibility_hpe.csv;E:\Deskbook\Tea\tables\mmwave_vk_feasibility_har.csv
