index,name,status,reason,returncode,seconds,outputs
1,hpe_teacher_temporal_global_local_cross_scene,done,,0,23877.203,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/teacher_temporal_global_local_cross_scene/best.pth
2,hpe_student_temporal_global_local_cross_scene,done,,0,29516.140,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_scene/best.pth
3,hpe_eval_temporal_global_local_cross_scene,done,,0,6159.444,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/eval/student_temporal_global_local_cross_scene_all_combinations.csv
4,har_teacher_temporal_global_local_cross_scene,skipped,outputs_exist_epoch:9,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/teacher_temporal_global_local_cross_scene/best.pth
5,har_student_temporal_global_local_cross_scene,done,,0,4405.690,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_scene/best.pth
6,har_eval_temporal_global_local_cross_scene,done,,0,3250.024,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/eval/student_temporal_global_local_cross_scene_all_combinations.csv
7,hpe_teacher_temporal_global_local_cross_subject,done,,0,13574.580,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/teacher_temporal_global_local_cross_subject/best.pth
8,hpe_student_temporal_global_local_cross_subject,failed,,1,6406.549,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_subject/best.pth
9,hpe_eval_temporal_global_local_cross_subject,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs_mmwave_vk_v2_temporal/eval/student_temporal_global_local_cross_subject_all_combinations.csv
10,har_teacher_temporal_global_local_cross_subject,failed,,1,8007.322,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/teacher_temporal_global_local_cross_subject/best.pth
11,har_student_temporal_global_local_cross_subject,failed,,1,116.794,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_subject/best.pth
12,har_eval_temporal_global_local_cross_subject,skipped,missing_required=/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/student_temporal_global_local_cross_subject/best.pth,0,0.000,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs_mmwave_vk_v2_temporal/eval/student_temporal_global_local_cross_subject_all_combinations.csv
