task,modality_set,modality,mean_weight,performance_metric,metric_name,higher_better
HPE,vk+depth,vk,0.3962,51.65,MPJPE mm,False
HPE,vk+depth,depth,0.6038,51.65,MPJPE mm,False
HPE,vk+lidar,vk,0.5262,73.18,MPJPE mm,False
HPE,vk+lidar,lidar,0.4738,73.18,MPJPE mm,False
HPE,vk+mmwave,vk,0.5182,68.93,MPJPE mm,False
HPE,vk+mmwave,mmwave,0.4818,68.93,MPJPE mm,False
HPE,vk+wifi-csi,vk,0.5244,88.11,MPJPE mm,False
HPE,vk+wifi-csi,wifi-csi,0.4756,88.11,MPJPE mm,False
HPE,depth+lidar,depth,0.6222,53.00,MPJPE mm,False
HPE,depth+lidar,lidar,0.3778,53.00,MPJPE mm,False
HPE,depth+mmwave,depth,0.6111,52.32,MPJPE mm,False
HPE,depth+mmwave,mmwave,0.3889,52.32,MPJPE mm,False
HPE,depth+wifi-csi,depth,0.6293,53.54,MPJPE mm,False
HPE,depth+wifi-csi,wifi-csi,0.3707,53.54,MPJPE mm,False
HPE,lidar+mmwave,lidar,0.4893,97.52,MPJPE mm,False
HPE,lidar+mmwave,mmwave,0.5107,97.52,MPJPE mm,False
HPE,lidar+wifi-csi,lidar,0.4838,134.16,MPJPE mm,False
HPE,lidar+wifi-csi,wifi-csi,0.5162,134.16,MPJPE mm,False
HPE,mmwave+wifi-csi,mmwave,0.5154,108.54,MPJPE mm,False
HPE,mmwave+wifi-csi,wifi-csi,0.4846,108.54,MPJPE mm,False
HPE,vk+depth+lidar,vk,0.2881,51.10,MPJPE mm,False
HPE,vk+depth+lidar,depth,0.4363,51.10,MPJPE mm,False
HPE,vk+depth+lidar,lidar,0.2756,51.10,MPJPE mm,False
HPE,vk+depth+mmwave,vk,0.2932,50.50,MPJPE mm,False
HPE,vk+depth+mmwave,depth,0.4227,50.50,MPJPE mm,False
HPE,vk+depth+mmwave,mmwave,0.2840,50.50,MPJPE mm,False
HPE,vk+depth+wifi-csi,vk,0.2878,51.63,MPJPE mm,False
HPE,vk+depth+wifi-csi,depth,0.4388,51.63,MPJPE mm,False
