file_path,file_type,task,method_name,input_modalities,missing_setting,split_protocol,metric_name,metric_value,metric_direction,baseline_reference,improvement_or_drop,is_ours,is_xfi_or_ori_baseline,is_superteacher_exploration,recommended_usage,reason,source_confidence
E:\Deskbook\Tea\experiment_index.csv,csv,unknown,experiment_index,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\result_index.csv,csv,unknown,result_index,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\figures\FIGURE_GENERATION_GUIDE.md,md,unknown,FIGURE_GENERATION_GUIDE,,,,,,,,,no,no,no,discard,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\figures\framework_plan.md,md,unknown,framework_plan,,,,,,,,,no,no,no,discard,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\figures\missing_modality_plot_plan.md,md,unknown,missing_modality_plot_plan,,,,,,,,,no,no,no,discard,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\figures\reliability_visualization_plan.md,md,reliability,reliability_visualization_plan,,,,,,,,,yes,no,no,figure,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\outputs\fast_extras_summary.md,md,unknown,fast_extras_summary,,,,,,,,,no,no,no,discard,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,2.50,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,67.53,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,15.43,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,43.80,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,36.57,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,9.72,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_conclusion_中文.md,md,privacy_probe,privacy_leakage_probe_conclusion_中文,,,,accuracy,8.65,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.675290,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.154326,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.438002,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.365745,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.097235,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_report.md,md,privacy_probe,privacy_leakage_probe_report,,,,acc,0.086530,higher_better,,,yes,no,no,main_table,Metric extracted from text/log pattern.,medium
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_subject_id.csv,csv,privacy_probe,privacy_leakage_probe_subject_id,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\privacy_leakage_probe\privacy_leakage_probe_subject_id_summary.csv,csv,privacy_probe,privacy_leakage_probe_subject_id_summary,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\Super-Teacher\README.md,md,superteacher,full-modality teacher,,,,,,,,,yes,no,yes,discussion,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\Super-Teacher\SUPER_TEACHER_RUN_GUIDE.md,md,superteacher,full-modality teacher,,,,,,,,,yes,no,yes,discussion,Text/log parsed but no recognized metric pattern was found.,medium
E:\Deskbook\Tea\supplement\vk_semantic_anchor_summary.csv,csv,unknown,vk_semantic_anchor_summary,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\supplement\vk_semantic_anchor_test.csv,csv,unknown,vk_semantic_anchor_test,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\ablation_results.csv,csv,ablation,ablation_results,,,,,,,,,yes,no,no,ablation_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\baseline_comparison.csv,csv,unknown,baseline_comparison,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\body_latent_alignment_from_logs.csv,csv,unknown,body_latent_alignment_from_logs,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\fair_missing_modality_baseline.csv,csv,unknown,fair_missing_modality_baseline,,,,,,,,,no,no,no,discard,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\leave_one_modality_delta.csv,csv,leave_one_out,leave_one_modality_delta,,,,,,,,,yes,no,no,main_table,CSV parsed but no recognized metric column was found.,high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,Reproduced X-Fi/VK baseline,,,random split,avg_accuracy_pct,69.63,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,Reproduced X-Fi/VK baseline,,,random split,full_accuracy_pct,77.70,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,random split,avg_accuracy_pct,85.15,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-VK,,,random split,full_accuracy_pct,96.56,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,random split,avg_accuracy_pct,80.62,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
E:\Deskbook\Tea\tables\main_har_results.csv,csv,HAR,VK-RMD Student-NV,,,random split,full_accuracy_pct,96.12,higher_better,,,yes,no,no,main_table,"Directly supports VK replacement, FSG, missing-modality robustness, or baseline comparison.",high
