project,file,method,split,modality_set,acc_pct,macro_f1_pct,loss,params
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk,60.94,59.31,1.2789845950874275,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,depth,86.85,86.78,0.848678677509692,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,lidar,33.14,31.11,2.286185426478187,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,mmwave,83.13,83.31,0.5908986121078758,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+depth,88.09,87.94,0.6939036768801969,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+lidar,63.63,62.65,1.1214073679610808,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+mmwave,91.05,91.12,0.31175264761565835,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,depth+lidar,87.24,87.25,0.8043322427796905,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,depth+mmwave,95.57,95.56,0.23735580691577332,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,lidar+mmwave,85.92,86.09,0.4777052990755254,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+depth+lidar,88.62,88.53,0.657073602930562,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+depth+mmwave,95.96,95.95,0.20758348467936863,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,vk+lidar+mmwave,91.23,91.29,0.30396861537113773,8606392
HAR,ablation_no_distill_all_combinations.csv,VK-RCD-HAR-Ablation-NoKD,random_split,depth+lidar+mmwave,95.50,95.50,0.2397069500427068,8606392
