project,method,split,source_file,modality_set,ours_acc_pct,official_acc_pct,delta_acc_pct,acc_trend,ours_macro_f1_pct
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk,3.40,26.50,-23.10,DEGRADED,0.45
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,depth,83.71,48.10,35.61,IMPROVED,82.80
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,lidar,3.36,52.70,-49.34,DEGRADED,1.17
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,mmwave,66.72,85.70,-18.98,DEGRADED,64.78
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+depth,83.50,45.30,38.20,IMPROVED,82.60
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+lidar,3.91,35.20,-31.29,DEGRADED,1.31
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+mmwave,66.46,73.40,-6.94,DEGRADED,63.67
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,depth+lidar,83.37,51.60,31.77,IMPROVED,82.54
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,depth+mmwave,95.76,79.80,15.96,IMPROVED,95.74
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,lidar+mmwave,66.69,88.70,-22.01,DEGRADED,63.96
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+depth+lidar,83.66,48.70,34.96,IMPROVED,82.91
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+depth+mmwave,95.66,70.70,24.96,IMPROVED,95.65
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+lidar+mmwave,66.39,77.80,-11.41,DEGRADED,63.36
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,depth+lidar+mmwave,95.64,80.50,15.14,IMPROVED,95.63
HAR,VK-RCD-HAR-Teacher,random_split,teacher_random_all_combinations.csv,vk+depth+lidar+mmwave,95.57,72.20,23.37,IMPROVED,95.56
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk,65.31,26.50,38.81,IMPROVED,65.70
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,depth,88.02,48.10,39.92,IMPROVED,87.86
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,lidar,40.80,52.70,-11.90,DEGRADED,40.10
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,mmwave,85.88,85.70,0.18,IMPROVED,86.06
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+depth,89.51,45.30,44.21,IMPROVED,89.36
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+lidar,68.54,35.20,33.34,IMPROVED,69.05
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+mmwave,92.75,73.40,19.35,IMPROVED,92.82
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,depth+lidar,88.52,51.60,36.92,IMPROVED,88.39
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,depth+mmwave,96.45,79.80,16.65,IMPROVED,96.44
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,lidar+mmwave,89.51,88.70,0.81,IMPROVED,89.57
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+depth+lidar,89.62,48.70,40.92,IMPROVED,89.49
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+depth+mmwave,96.56,70.70,25.86,IMPROVED,96.55
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+lidar+mmwave,92.73,77.80,14.93,IMPROVED,92.81
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,depth+lidar+mmwave,96.44,80.50,15.94,IMPROVED,96.43
HAR,VK-RCD-HAR-Student-VK-Missing,random_split,student_vk_random_all_combinations.csv,vk+depth+lidar+mmwave,96.56,72.20,24.36,IMPROVED,96.55
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk,3.40,26.50,-23.10,DEGRADED,0.45
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,depth,83.71,48.10,35.61,IMPROVED,82.80
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,lidar,3.45,52.70,-49.25,DEGRADED,1.22
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,mmwave,66.72,85.70,-18.98,DEGRADED,64.78
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+depth,83.50,45.30,38.20,IMPROVED,82.60
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+lidar,3.85,35.20,-31.35,DEGRADED,1.26
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+mmwave,66.46,73.40,-6.94,DEGRADED,63.67
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,depth+lidar,83.39,51.60,31.79,IMPROVED,82.57
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,depth+mmwave,95.76,79.80,15.96,IMPROVED,95.74
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,lidar+mmwave,66.64,88.70,-22.06,DEGRADED,63.92
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+depth+lidar,83.70,48.70,35.00,IMPROVED,82.97
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+depth+mmwave,95.66,70.70,24.96,IMPROVED,95.65
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+lidar+mmwave,66.33,77.80,-11.47,DEGRADED,63.31
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,depth+lidar+mmwave,95.62,80.50,15.12,IMPROVED,95.61
HAR,VK-RCD-HAR-Teacher,random_split,all_combinations.csv,vk+depth+lidar+mmwave,95.59,72.20,23.39,IMPROVED,95.58
