project,file,method,split,modality_set,mpjpe_mm,pa_mpjpe_mm,mse,params
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk,92.66,42.60,0.0042037156161309,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth,53.88,35.61,0.001654148517346479,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,lidar,139.90,93.44,0.010220125781492742,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,mmwave,114.98,58.13,0.006489229240137789,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,wifi-csi,222.14,110.19,0.024730338693298756,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth,51.65,34.29,0.001546571292512143,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+lidar,73.18,41.92,0.0028482151454842907,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+mmwave,68.93,38.90,0.0024974980529448593,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+wifi-csi,88.11,42.30,0.0038386925688665093,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+lidar,53.00,35.35,0.0016190626832294729,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+mmwave,52.32,34.64,0.0015442892750156647,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+wifi-csi,53.54,35.52,0.0016447879172968019,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,lidar+mmwave,97.54,55.09,0.004705163704117913,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,lidar+wifi-csi,134.11,93.22,0.009752940246353372,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,mmwave+wifi-csi,108.54,57.27,0.005898957081251278,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+lidar,51.10,34.16,0.0015225508563146868,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+mmwave,50.50,33.52,0.0014688366100711562,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+wifi-csi,51.63,34.29,0.0015463852831157576,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+lidar+mmwave,66.08,38.77,0.0023559501566022332,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+lidar+wifi-csi,70.68,41.76,0.0026843490027639054,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+mmwave+wifi-csi,66.69,38.80,0.0023671148870710442,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+lidar+mmwave,51.92,34.50,0.0015314006648062526,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+lidar+wifi-csi,52.86,35.38,0.0016159140091621521,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+mmwave+wifi-csi,52.13,34.62,0.001540207419495854,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,lidar+mmwave+wifi-csi,94.20,55.10,0.0044742761365802195,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+lidar+mmwave,50.25,33.45,0.0014603822090474463,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+lidar+wifi-csi,51.05,34.18,0.0015219354080065028,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+mmwave+wifi-csi,50.41,33.54,0.0014668070756460835,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+lidar+mmwave+wifi-csi,64.22,38.75,0.0022460565718385845,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,depth+lidar+mmwave+wifi-csi,51.78,34.54,0.0015287822380280504,8895208
HPE,all_combinations.csv,VK-RCD-Student-VK,random_split,vk+depth+lidar+mmwave+wifi-csi,50.17,33.48,0.0014587771983657586,8895208
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,50.18,33.48,0.0014590788163282586,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,52.64,34.57,0.0015710848316534925,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.10,35.19,0.0016379341990311823,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.75,35.50,0.0016690452336497448,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,50.88,33.92,0.001488102523395341,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,52.88,34.71,0.001581960488836217,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.12,35.19,0.0016401267167432682,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.76,35.50,0.0016697228733739478,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,52.08,34.57,0.001539294305564543,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,53.26,34.93,0.0015987949889641724,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.12,35.20,0.001638386860237358,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.74,35.52,0.0016693329612529602,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,53.63,35.20,0.001611003164998953,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,53.85,35.15,0.001621275579426224,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.21,35.25,0.0016435792571283744,
HPE,student_vk_noise_robustness.csv,VK-RCD-Student-VK,,vk+depth+lidar+mmwave+wifi-csi,54.78,35.54,0.0016701842608368845,
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,vk,487.99,139.35,0.08846354111703884,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,depth,234.48,84.60,0.01989380092618954,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,lidar,1615.42,387.33,0.9460804780636483,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,mmwave,4196.64,298.72,5.893579201472937,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,wifi-csi,4173.33,378.22,5.820227632916231,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,vk+depth,369.12,97.31,0.049302469547371094,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,vk+lidar,1072.74,213.07,0.41708323204141257,8895208
HPE,teacher_all_combinations.csv,VK-RCD-Teacher,random_split,vk+mmwave,814.71,174.05,0.3121150505549816,8895208
