task,metric,unit,base_modality_count,pair_count,win_count,mean_vk_gain,median_vk_gain
HAR,Accuracy,percentage_points,1,3,3,12.034958639896912,6.87118094525502
HAR,Accuracy,percentage_points,2,3,3,1.4756619694891289,1.0989524878413732
HAR,Accuracy,percentage_points,3,1,1,0.12158623269733937,0.12158623269733937
HAR,Macro-F1,percentage_points,1,3,3,12.40625848367926,6.758736447035304
HAR,Macro-F1,percentage_points,2,3,3,1.4831194874181175,1.0966920271189338
HAR,Macro-F1,percentage_points,3,1,1,0.12043009000571203,0.12043009000571203
HPE,MPJPE,mm,1,4,4,62.31635984919258,56.50506641477446
HPE,MPJPE,mm,2,6,6,23.726628013734096,16.679693716073558
HPE,MPJPE,mm,3,4,4,8.777666008031389,1.7613045889143208
HPE,MPJPE,mm,4,1,1,1.605341945892036,1.605341945892036
HPE,PA-MPJPE,mm,1,4,4,35.007279534050326,35.41702762220356
HPE,PA-MPJPE,mm,2,6,6,14.957344563764645,8.770601197024863
HPE,PA-MPJPE,mm,3,4,4,4.908181284559138,1.1393072623012834
HPE,PA-MPJPE,mm,4,1,1,1.0586514731413885,1.0586514731413885
