task,base_subset,base_subset_label,with_vk_subset,with_vk_subset_label,base_modality_count,metric,unit,without_vk,with_vk,vk_gain,relative_gain_percent,vk_improves
HPE,depth,D,vk+depth,V+D,1,MPJPE,mm,53.87680247762373,51.651995646260836,2.2248068313628906,4.1294336876931474,yes
HPE,depth,D,vk+depth,V+D,1,PA-MPJPE,mm,35.60514825171093,34.29480645149197,1.310341800218957,3.6802031856614765,yes
HPE,lidar,L,vk+lidar,V+L,1,MPJPE,mm,140.14498313580208,73.18077670822106,66.96420642758102,47.782093178955925,yes
HPE,lidar,L,vk+lidar,V+L,1,PA-MPJPE,mm,93.51575630813322,41.91833647256917,51.59741983556405,55.17510831602667,yes
HPE,mmwave,R,vk+mmwave,V+R,1,MPJPE,mm,114.97672817358904,68.93080177162113,46.045926401967904,40.04804027163557,yes
HPE,mmwave,R,vk+mmwave,V+R,1,PA-MPJPE,mm,58.134366280156094,38.89773087131301,19.236635408843085,33.089954599555725,yes
HPE,wifi-csi,W,vk+wifi-csi,V+W,1,MPJPE,mm,222.14030740616076,88.10980767030225,134.0304997358585,60.33596572404012,yes
HPE,wifi-csi,W,vk+wifi-csi,V+W,1,PA-MPJPE,mm,110.18826500361152,42.30354391203631,67.88472109157522,61.607940817790556,yes
HPE,depth+lidar,D+L,vk+depth+lidar,V+D+L,2,MPJPE,mm,53.00405515888145,51.096831663582655,1.907223495298794,3.5982595851993344,yes
HPE,depth+lidar,D+L,vk+depth+lidar,V+D+L,2,PA-MPJPE,mm,35.35299535655991,34.15563468977616,1.1973606667837515,3.386871903519134,yes
HPE,depth+mmwave,D+R,vk+depth+mmwave,V+D+R,2,MPJPE,mm,52.31520150928541,50.498588929099846,1.8166125801855628,3.4724373179813384,yes
HPE,depth+mmwave,D+R,vk+depth+mmwave,V+D+R,2,PA-MPJPE,mm,34.63931751309638,33.524933382571305,1.1143841305250746,3.217107641060624,yes
HPE,depth+wifi-csi,D+W,vk+depth+wifi-csi,V+D+W,2,MPJPE,mm,53.542130438708234,51.62977955446589,1.9123508842423433,3.5716749942019694,yes
HPE,depth+wifi-csi,D+W,vk+depth+wifi-csi,V+D+W,2,PA-MPJPE,mm,35.52097185826331,34.29365993499682,1.227311923266491,3.4551755176174304,yes
HPE,lidar+mmwave,L+R,vk+lidar+mmwave,V+L+R,2,MPJPE,mm,97.52471933345988,66.07768278555511,31.447036547904773,32.24519564150703,yes
HPE,lidar+mmwave,L+R,vk+lidar+mmwave,V+L+R,2,PA-MPJPE,mm,55.08081680406975,38.76692633328651,16.313890470783235,29.618098309642086,yes
HPE,lidar+wifi-csi,L+W,vk+lidar+wifi-csi,V+L+W,2,MPJPE,mm,134.15646832703442,70.72817778333507,63.42829054369935,47.279338323873915,yes
HPE,lidar+wifi-csi,L+W,vk+lidar+wifi-csi,V+L+W,2,PA-MPJPE,mm,93.17818387339086,41.75837361077297,51.419810262617894,55.184387723725514,yes
HPE,mmwave+wifi-csi,R+W,vk+mmwave+wifi-csi,V+R+W,2,MPJPE,mm,108.54143169079656,66.6931776597228,41.84825403107375,38.55509677658153,yes
HPE,mmwave+wifi-csi,R+W,vk+mmwave+wifi-csi,V+R+W,2,PA-MPJPE,mm,57.26726742792757,38.795957499316145,18.471309928611426,32.25456837426035,yes
HPE,depth+lidar+mmwave,D+L+R,vk+depth+lidar+mmwave,V+D+L+R,3,MPJPE,mm,51.91554738856013,50.247787721738476,1.6677596668216523,3.2124474280110396,yes
HPE,depth+lidar+mmwave,D+L+R,vk+depth+lidar+mmwave,V+D+L+R,3,PA-MPJPE,mm,34.50231149427323,33.447727636940854,1.054583857332375,3.0565600148483303,yes
HPE,depth+lidar+wifi-csi,D+L+W,vk+depth+lidar+wifi-csi,V+D+L+W,3,MPJPE,mm,52.851675177455945,51.04702214446429,1.8046530329916521,3.414561651891467,yes
HPE,depth+lidar+wifi-csi,D+L+W,vk+depth+lidar+wifi-csi,V+D+L+W,3,PA-MPJPE,mm,35.38104488147404,34.18443617068948,1.1966087107845595,3.382061538298771,yes
HPE,depth+mmwave+wifi-csi,D+R+W,vk+depth+mmwave+wifi-csi,V+D+R+W,3,MPJPE,mm,52.13063024170255,50.41267409686556,1.7179561448369896,3.295483167711042,yes
HPE,depth+mmwave+wifi-csi,D+R+W,vk+depth+mmwave+wifi-csi,V+D+R+W,3,PA-MPJPE,mm,34.617264233449944,33.53525841963194,1.0820058138180073,3.125624851580523,yes
HPE,lidar+mmwave+wifi-csi,L+R+W,vk+lidar+mmwave+wifi-csi,V+L+R+W,3,MPJPE,mm,94.16607600102654,64.24578081355128,29.92029518747526,31.773964104811046,yes
HPE,lidar+mmwave+wifi-csi,L+R+W,vk+lidar+mmwave+wifi-csi,V+L+R+W,3,PA-MPJPE,mm,55.053248121035956,38.753721364734346,16.29952675630161,29.606839401131587,yes
HPE,depth+lidar+mmwave+wifi-csi,D+L+R+W,vk+depth+lidar+mmwave+wifi-csi,V+D+L+R+W,4,MPJPE,mm,51.776448620104894,50.17110667421286,1.605341945892036,3.100525410058114,yes
HPE,depth+lidar+mmwave+wifi-csi,D+L+R+W,vk+depth+lidar+mmwave+wifi-csi,V+D+L+R+W,4,PA-MPJPE,mm,34.54013590700214,33.48148443386075,1.0586514731413885,3.0649893098040004,yes
HAR,depth,D,vk+depth,V+D,1,Accuracy,percentage_points,88.02219728145654,89.50929043521636,1.4870931537598153,1.6894524332365175,yes
HAR,depth,D,vk+depth,V+D,1,Macro-F1,percentage_points,87.85817484747453,89.36498985975703,1.5068150122825017,1.7150538523004781,yes
HAR,lidar,L,vk+lidar,V+L,1,Accuracy,percentage_points,40.79685746352413,68.54345928420003,27.7466018206759,68.01161546691122,yes
HAR,lidar,L,vk+lidar,V+L,1,Macro-F1,percentage_points,40.1007125488858,69.05393654060578,28.953223991719973,72.20127062935305,yes
HAR,mmwave,R,vk+mmwave,V+R,1,Accuracy,percentage_points,85.87729143284699,92.74847237810201,6.87118094525502,8.001161693167793,yes
HAR,mmwave,R,vk+mmwave,V+R,1,Macro-F1,percentage_points,86.0622277089663,92.82096415600161,6.758736447035304,7.853313383765863,yes
HAR,depth+lidar,D+L,vk+depth+lidar,V+D+L,2,Accuracy,percentage_points,88.51633620152138,89.61528868936276,1.0989524878413732,1.2415250506295639,yes
HAR,depth+lidar,D+L,vk+depth+lidar,V+D+L,2,Macro-F1,percentage_points,88.39207468406973,89.48876671118866,1.0966920271189338,1.2407130741514123,yes
HAR,depth+mmwave,D+R,vk+depth+mmwave,V+D+R,2,Accuracy,percentage_points,96.44905848609552,96.55505674024192,0.10599825414639952,0.10990076607298416,yes
HAR,depth+mmwave,D+R,vk+depth+mmwave,V+D+R,2,Macro-F1,percentage_points,96.4392670045968,96.54534589109676,0.106078886499958,0.10999553376416862,yes
HAR,lidar+mmwave,L+R,vk+lidar+mmwave,V+L+R,2,Accuracy,percentage_points,89.51084923307145,92.73288439955107,3.222035166479614,3.59960294655452,yes
HAR,lidar+mmwave,L+R,vk+lidar+mmwave,V+L+R,2,Macro-F1,percentage_points,89.56560977609563,92.81219732473109,3.2465875486354605,3.6248148778884883,yes
HAR,depth+lidar+mmwave,D+L+R,vk+depth+lidar+mmwave,V+D+L+R,3,Accuracy,percentage_points,96.43658810325478,96.55817433595212,0.12158623269733937,0.12607894481621107,yes
HAR,depth+lidar+mmwave,D+L+R,vk+depth+lidar+mmwave,V+D+L+R,3,Macro-F1,percentage_points,96.42763390552818,96.5480639955339,0.12043009000571203,0.12489167796411915,yes
