task,setting,perturbed_modality,perturbation_type,severity,metric_name,metric_value,clean_metric,delta_metric,relative_drop,num_batches,num_samples,checkpoint
HPE,clean,none,none,0.0,MPJPE,0.04504603300243616,0.04504603300243616,0.0,0.0,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,vk_noise_0.1,vk,gaussian_scaled_by_batch_std,0.1,MPJPE,0.0469528142735362,0.04504603300243616,0.0019067812711000415,0.04232961581759974,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,vk_noise_0.3,vk,gaussian_scaled_by_batch_std,0.3,MPJPE,0.049945642612874507,0.04504603300243616,0.004899609610438345,0.10876894776002509,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,vk_noise_0.5,vk,gaussian_scaled_by_batch_std,0.5,MPJPE,0.04979468422010541,0.04504603300243616,0.00474865121766925,0.10541774494132337,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,depth_noise_0.3,depth,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,MPJPE,0.20558407828211783,0.04504603300243616,0.16053804527968168,3.5638664401591043,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,lidar_noise_0.3,lidar,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,MPJPE,0.05263878349214792,0.04504603300243616,0.0075927504897117595,0.16855536400510854,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,mmwave_noise_0.3,mmwave,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,MPJPE,0.04730129493400455,0.04504603300243616,0.0022552619315683864,0.05006571680677005,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,wifi_csi_noise_0.3,wifi-csi,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,MPJPE,0.04444877756759524,0.04504603300243616,-0.0005972554348409181,-0.013258779853236301,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,vk_joint_shuffle,vk,joint_identity_shuffle,1.0,MPJPE,0.055150454379618165,0.04504603300243616,0.010104421377182003,0.22431323478885565,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HPE,vk_sample_mismatch,vk,batch_sample_roll_mismatch,1.0,MPJPE,0.04643853195011616,0.04504603300243616,0.001392498947679996,0.030912798638776634,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HPE/outputs/student_vk_missing/best.pth
HAR,clean,none,none,0.0,Accuracy,0.9975,0.9975,0.0,0.0,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,vk_noise_0.1,vk,gaussian_scaled_by_batch_std,0.1,Accuracy,0.99625,0.9975,-0.0012500000000000844,0.001253132832080285,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,vk_noise_0.3,vk,gaussian_scaled_by_batch_std,0.3,Accuracy,0.994375,0.9975,-0.0031250000000000444,0.0031328320802005457,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,vk_noise_0.5,vk,gaussian_scaled_by_batch_std,0.5,Accuracy,0.995625,0.9975,-0.001875000000000071,0.001879699248120372,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,depth_noise_0.3,depth,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,Accuracy,0.9775,0.9975,-0.020000000000000018,0.020050125313283224,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,lidar_noise_0.3,lidar,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,Accuracy,0.99875,0.9975,0.0012499999999999734,-0.0012531328320801738,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,mmwave_noise_0.3,mmwave,gaussian_scaled_by_batch_std_plus_light_zeroing,0.3,Accuracy,0.894375,0.9975,-0.10312500000000002,0.10338345864661656,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,vk_joint_shuffle,vk,joint_identity_shuffle,1.0,Accuracy,0.985625,0.9975,-0.01187500000000008,0.011904761904761984,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
HAR,vk_sample_mismatch,vk,batch_sample_roll_mismatch,1.0,Accuracy,0.998125,0.9975,0.0006249999999999867,-0.0006265664160400869,100,1600,/apps/users/icps_intelligence/data/lyg/X-Fi/MMFi_HAR/outputs/student_vk_missing/best.pth
