task,stage,metric_name,metric_value,macro_f1,delta_metric,corrupted_weight_clean,corrupted_weight_after,delta_corrupted_weight,weight_depth,weight_lidar,weight_mmwave,weight_vk,weight_wifi-csi
HAR,clean,acc,0.9975,0.748615,0.0,,,,0.24929726213216782,0.24416764527559282,0.2685527686774731,0.2379823225736618,
HAR,vk,acc,0.99625,0.598554,-0.0012500000000000844,0.2379823225736618,0.24142298772931098,0.0034406651556491696,0.24809005230665207,0.24353919714689254,0.2669477620720863,0.24142298772931098,
HAR,depth,acc,0.97,0.345325,-0.02750000000000008,0.24929726213216782,0.2553108158707619,0.006013553738594052,0.2553108158707619,0.2348949381709099,0.28142949044704435,0.22836475536227227,
HAR,lidar,acc,0.99875,0.856043,0.0012499999999999734,0.24416764527559282,0.24179798156023025,-0.002369663715362569,0.2494422835111618,0.24179798156023025,0.2699842515587807,0.2387754824757576,
HAR,mmwave,acc,0.901875,0.2835,-0.09562500000000007,0.2685527686774731,0.2593559707701206,-0.00919679790735245,0.2652860689163208,0.25343996614217756,0.2593559707701206,0.22191799223423003,
HPE,clean,mpjpe,0.045052,,0.0,,,,0.2701503728330135,0.17846578165888785,0.18335192888975144,0.18861528754234314,0.17941662713885306
HPE,vk,mpjpe,0.048727,,0.0036749999999999977,0.18861528754234314,0.18547479808330536,-0.0031404894590377763,0.2976224972307682,0.16961514636874198,0.17803901359438895,0.18547479808330536,0.1692485421895981
HPE,depth,mpjpe,0.332668,,0.28761600000000004,0.2701503728330135,0.33806807428598407,0.06791770145297055,0.33806807428598407,0.16302453637123107,0.17201360166072846,0.16703228414058685,0.15986150547862052
HPE,lidar,mpjpe,0.052909,,0.007856999999999996,0.17846578165888785,0.14020647026598454,-0.03825931139290331,0.3049826423823834,0.14020647026598454,0.18817756652832032,0.19213999330997467,0.17449332699179648
HPE,mmwave,mpjpe,0.04656,,0.0015079999999999955,0.18335192888975144,0.1788717630505562,-0.004480165839195249,0.28204020991921425,0.1756100606918335,0.1788717630505562,0.18623096138238907,0.17724700659513473
HPE,wifi-csi,mpjpe,0.044548,,-0.0005040000000000044,0.17941662713885306,0.18179454848170282,0.0023779213428497536,0.2713035178184509,0.17633068859577178,0.18125047907233238,0.18932076960802077,0.18179454848170282
