task,method,missing_count,num_combinations,avg_metric,best_metric,worst_metric,metric_name,higher_better
HAR,Student-NV,0,1,96.12,96.12,96.12,Accuracy %,True
HAR,Student-NV,1,3,90.05,96.18,85.30,Accuracy %,True
HAR,Student-NV,2,3,66.02,88.57,26.12,Accuracy %,True
HAR,Student-VK,0,1,96.56,96.56,96.56,Accuracy %,True
HAR,Student-VK,1,4,93.83,96.56,89.62,Accuracy %,True
HAR,Student-VK,2,6,87.55,96.45,68.54,Accuracy %,True
HAR,Student-VK,3,4,70.00,88.02,40.80,Accuracy %,True
HPE,Student-NV,0,1,51.03,51.03,51.03,MPJPE mm,False
HPE,Student-NV,1,4,61.32,51.11,90.93,MPJPE mm,False
HPE,Student-NV,2,6,79.43,51.24,123.65,MPJPE mm,False
HPE,Student-NV,3,4,124.32,52.34,212.40,MPJPE mm,False
HPE,Student-VK,0,1,50.17,50.17,50.17,MPJPE mm,False
HPE,Student-VK,1,5,53.55,50.25,64.25,MPJPE mm,False
HPE,Student-VK,2,10,60.78,50.50,94.17,MPJPE mm,False
HPE,Student-VK,3,10,78.10,51.65,134.16,MPJPE mm,False
HPE,Student-VK,4,5,124.76,53.88,222.14,MPJPE mm,False
